Values,Values_06_36_14,Values_06_46_12,Values_06_56_14,Values_07_06_14,Values_07_16_19,Values_07_27_11,Values_07_37_18,Values_07_47_21,Values_07_57_24,Values_08_07_28,Values_08_17_30,Values_08_27_32,Values_08_37_35,Values_08_47_36,Values_08_57_27,Values_09_06_46,Values_09_16_05,Values_09_25_25,Values_09_34_44,Values_09_44_04,Values_09_53_24,Values_10_02_44,Values_10_12_10,Values_10_21_30,Values_10_30_49,Values_10_40_17,Values_10_49_13,Values_10_57_59,Values_11_06_42,Values_11_15_27,Values_11_24_09,Values_11_32_52,Values_11_41_33,Values_11_50_15,Values_11_58_58,Values_12_07_39,Values_12_16_22,Values_12_25_05,Values_12_33_48,Values_12_42_30,Values_12_50_43,Values_00_23_05,Values_00_32_24,Values_00_42_09,Values_00_52_11,Values_01_02_05,Values_01_12_19,Values_01_22_39,Values_01_33_07,Values_01_43_32,Values_01_53_59,Values_02_04_26,Values_02_15_03,Values_02_25_27,Values_02_36_20,Values_02_47_18,Values_02_58_18,Values_03_09_14,Values_03_20_15
5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674,5.683006745518674
0.6946793415083468,0.6941662213546195,0.693891059358632,0.6937177783011348,0.6935678142527177,0.6934294080442475,0.693303917056882,0.6931952800853644,0.6931080939078043,0.6930473187317937,0.6930182374122248,0.6930263877944924,0.6930774142344621,0.6931768392619206,0.6933297786772038,0.6935406380579504,0.6938128360815599,0.694148597221579,0.6945488431640544,0.6950131927033488,0.6955400601461622,0.6961268278160698,0.696770061761934,0.6974657406795894,0.6982094739367656,0.6989966925597212,0.699822804802326,0.7006833141779774,0.7015739021476597,0.7024904801519112,0.7034292167450967,0.7043865456967121,0.7053591604608005,0.7063439996773762,0.7073382275550391,0.7083392121970234,0.7093445042220183,0.7103518174031042,0.7113590124910765,0.7123640848887474,0.7133651563857722,0.7143009446534618,0.6941662213546195,0.693891059358632,0.6937177783011348,0.6935678142527177,0.6934294080442475,0.693303917056882,0.6931952800853644,0.6931080939078043,0.6930473187317937,0.6930182374122248,0.6930263877944924,0.6930774142344621,0.6931768392619206,0.6933297786772038,0.6935406380579504,0.6938128360815599,0.694148597221579,0.6945488431640544
0.0242053885413409,0.0242090373057389,0.0242076542484854,0.0242029405776035,0.0241959427774624,0.0241869732077935,0.0241765486653617,0.0241654333085274,0.0241546269178395,0.0241453742695099,0.0241391809569899,0.0241378186828487,0.0241433071383341,0.0241578637745501,0.0241838184627702,0.0242234975396813,0.0242790895056606,0.0243525101948097,0.0244452864669807,0.0245584738332799,0.024692616308937,0.0248477486784424,0.0250234346317752,0.0252188302960607,0.0254327616814364,0.0256638058006631,0.0259103676933986,0.0261707483840841,0.0264432013183416,0.0267259767630369,0.0270173549566002,0.0273156695426366,0.0276193231369075,0.0279267969047413,0.0282366558724202,0.0285475514480103,0.0288582223362769,0.0291674947334264,0.0294742823987032,0.0297775869316541,0.030076498362895,0.0303527348947729,0.0242090373057389,0.0242076542484854,0.0242029405776035,0.0241959427774624,0.0241869732077935,0.0241765486653617,0.0241654333085274,0.0241546269178395,0.0241453742695099,0.0241391809569899,0.0241378186828487,0.0241433071383341,0.0241578637745501,0.0241838184627702,0.0242234975396813,0.0242790895056606,0.0243525101948097,0.024445286466980784
-0.0101882725187832,-0.0095295459801345,-0.0091852379570079,-0.0089783525018444,-0.008806108191825,-0.0086525512654549,-0.0085180911726802,-0.0084059402262304,-0.0083196656836443,-0.0082627847738572,-0.0082386755687838,-0.0082504797020941,-0.0083009544129233,-0.0083922928382117,-0.0085259478201588,-0.0087024971882906,-0.0089215813952412,-0.0091819290871066,-0.0094814670347434,-0.0098174939862159,-0.0101868883777817,-0.0105863189022989,-0.0110124331034341,-0.0114620086590018,-0.0119320615213991,-0.0124199124489373,-0.0129232179488824,-0.0134399735385831,-0.0139684972953705,-0.0145074006545311,-0.0150555519956128,-0.0156120370935147,-0.0161761192582244,-0.0167472010048146,-0.017324788401339,-0.0179084587837987,-0.0184978322553538,-0.0190925472358699,-0.019692240245517,-0.0202965300421326,-0.0209050061562625,-0.0214803920441795,-0.0095295459801345,-0.0091852379570079,-0.0089783525018444,-0.008806108191825,-0.0086525512654549,-0.0085180911726802,-0.0084059402262304,-0.0083196656836443,-0.0082627847738572,-0.0082386755687838,-0.0082504797020941,-0.0083009544129233,-0.0083922928382117,-0.0085259478201588,-0.0087024971882906,-0.0089215813952412,-0.0091819290871066,-0.009481467034743457
-0.0310476373318614,-0.0297213094437282,-0.029029008853348,-0.0286108206382748,-0.0282601386830939,-0.0279448069716011,-0.0276659386176643,-0.0274305900252005,-0.0272467946133681,-0.0271227468379969,-0.0270666355943948,-0.0270864542267964,-0.0271896869541334,-0.0273828999829286,-0.0276713043733179,-0.0280583708045442,-0.0285455701476481,-0.0291322888335986,-0.0298159310138946,-0.0305921821956622,-0.0314553826392932,-0.0323989488665634,-0.0334157871609134,-0.0344986579935705,-0.0356404682995819,-0.0368344844690282,-0.0380744703381853,-0.0393547610215797,-0.0406702860507154,-0.0420165551910759,-0.0433896187638661,-0.0447860121217136,-0.0462026917384949,-0.0476369684403795,-0.0490864417682893,-0.0505489383013318,-0.0520224559399011,-0.0535051155473144,-0.0549951209093946,-0.0564907275564496,-0.0579902206376736,-0.0594017698890431,-0.0297213094437282,-0.029029008853348,-0.0286108206382748,-0.0282601386830939,-0.0279448069716011,-0.0276659386176643,-0.0274305900252005,-0.0272467946133681,-0.0271227468379969,-0.0270666355943948,-0.0270864542267964,-0.0271896869541334,-0.0273828999829286,-0.0276713043733179,-0.0280583708045442,-0.0285455701476481,-0.0291322888335986,-0.029815931013894625
-0.0452910738019151,-0.0432871435586543,-0.0422460329103862,-0.0416177653512381,-0.0410902440906262,-0.040614613645778,-0.0401924610913747,-0.0398345340518909,-0.0395532078456813,-0.0393612447142829,-0.0392715458570905,-0.0392968683983572,-0.0394493474228232,-0.0397398597861297,-0.04017732796326,-0.0407680858026897,-0.0415154227883559,-0.0424193890284695,-0.0434768885272893,-0.0446820306730727,-0.046026666804361,-0.0475010198156019,-0.0490943196555446,-0.0507953781421275,-0.0525930629365227,-0.0544766549728417,-0.0564360919332891,-0.0584621115407221,-0.0605463135857418,-0.0626811604173501,-0.0648599339406859,-0.0670766642771601,-0.0693260421218186,-0.0716033239567606,-0.0739042369081658,-0.0762248881796733,-0.0785616826121282,-0.0809112508792412,-0.0832703900257672,-0.0856360173188437,-0.0880051377282688,-0.0902326800050764,-0.0432871435586543,-0.0422460329103862,-0.0416177653512381,-0.0410902440906262,-0.040614613645778,-0.0401924610913747,-0.0398345340518909,-0.0395532078456813,-0.0393612447142829,-0.0392715458570905,-0.0392968683983572,-0.0394493474228232,-0.0397398597861297,-0.04017732796326,-0.0407680858026897,-0.0415154227883559,-0.0424193890284695,-0.0434768885272893
-0.0576535767842136,-0.0549626065294957,-0.0535722485414912,-0.0527353690752194,-0.0520328181858563,-0.0513985593737189,-0.050834422048712,-0.0503546869249531,-0.0499759409643104,-0.0497153984389591,-0.0495905677634789,-0.0496188751806354,-0.0498170238236218,-0.050200132377116,-0.0507807821613838,-0.0515681357142932,-0.0525672857802847,-0.0537789499340665,-0.0551995539160087,-0.0568216689902845,-0.0586347090043902,-0.060625765021068,-0.062780459643253,-0.0650837291987104,-0.0675204767328827,-0.0700760716524307,-0.0727366969620031,-0.0754895607911161,-0.0783229965359122,-0.0812264776367424,-0.0841905711778056,-0.0872068508964324,-0.0902677861438423,-0.093366619529129,-0.0964972427820703,-0.0996540778302327,-0.1028319681589881,-0.1060260840485495,-0.1092318441214337,-0.1124448545820473,-0.1156608665800598,-0.1186829636727501,-0.0549626065294957,-0.0535722485414912,-0.0527353690752194,-0.0520328181858563,-0.0513985593737189,-0.050834422048712,-0.0503546869249531,-0.0499759409643104,-0.0497153984389591,-0.0495905677634789,-0.0496188751806354,-0.0498170238236218,-0.050200132377116,-0.0507807821613838,-0.0515681357142932,-0.0525672857802847,-0.0537789499340665,-0.055199553916008705
-0.0669169971511723,-0.0635283261753318,-0.0617877309247031,-0.0607433940710853,-0.0598673659278184,-0.0590759169031698,-0.058370886506503,-0.0577699357070373,-0.0572937395578294,-0.056963855942819,-0.0568023032237391,-0.0568310902534981,-0.0570714136059912,-0.0575425728434427,-0.0582607626153947,-0.0592379454261511,-0.0604810059764152,-0.0619913351603689,-0.0637649023206907,-0.0657927765646637,-0.0680619818811107,-0.070556534060435,-0.0732585110551477,-0.0761490398953213,-0.0792091263639952,-0.0824202949148628,-0.0857650381673691,-0.0892270955967299,-0.0927915911146465,-0.0964450617986035,-0.1001754080349087,-0.1039717910315258,-0.1078244986904724,-0.1117247960926799,-0.1156647728351635,-0.1196371962424148,-0.1236353770095863,-0.1276530519321719,-0.1316842868632937,-0.1357234016770121,-0.1397649177753258,-0.1435613874432957,-0.0635283261753318,-0.0617877309247031,-0.0607433940710853,-0.0598673659278184,-0.0590759169031698,-0.058370886506503,-0.0577699357070373,-0.0572937395578294,-0.056963855942819,-0.0568023032237391,-0.0568310902534981,-0.0570714136059912,-0.0575425728434427,-0.0582607626153947,-0.0592379454261511,-0.0604810059764152,-0.0619913351603689,-0.06376490232069079
-0.0729572444464046,-0.0688587668807785,-0.0667663042967691,-0.065515315102499,-0.0644670796400511,-0.0635196245023245,-0.0626745648174046,-0.0619527940672132,-0.0613789587374668,-0.0609788596121608,-0.0607789360573663,-0.0608057017963806,-0.0610847811430061,-0.0616396021913717,-0.0624899351830738,-0.0636505202809576,-0.0651300274275876,-0.0669305291425602,-0.0690475604290547,-0.0714707222364627,-0.0741846924324386,-0.0771704626375857,-0.0804066222472892,-0.0838705478521461,-0.087539407631592,-0.091390939914016,-0.0954040036626247,-0.0995589234228414,-0.1038376637701627,-0.1082238717092194,-0.1127028233163462,-0.1172613058972356,-0.1218874610476827,-0.1265706083472632,-0.1313010645921813,-0.1360699695838521,-0.1408691264933745,-0.1456908624955182,-0.1505279135034811,-0.1553733351658589,-0.1602204407598148,-0.1647724755480409,-0.0688587668807785,-0.0667663042967691,-0.065515315102499,-0.0644670796400511,-0.0635196245023245,-0.0626745648174046,-0.0619527940672132,-0.0613789587374668,-0.0609788596121608,-0.0607789360573663,-0.0608057017963806,-0.0610847811430061,-0.0616396021913717,-0.0624899351830738,-0.0636505202809576,-0.0651300274275876,-0.0669305291425602,-0.06904756042905476
-0.0755172670395002,-0.0706952016887054,-0.0682485132175744,-0.0667912917296865,-0.0655718126024886,-0.0644692604951205,-0.0634847874333888,-0.0626423762847346,-0.0619705351546759,-0.0614992148719174,-0.0612591954838559,-0.0612814270319042,-0.0615959052943577,-0.0622301437399448,-0.0632074588456481,-0.0645453531126192,-0.0662542800995237,-0.0683370051015573,-0.0707886513081711,-0.0735973836712534,-0.0767455737994747,-0.0802112347172786,-0.0839695166132838,-0.0879940969781051,-0.092258358145636,-0.0967363031889232,-0.1014032063769304,-0.1062360236464597,-0.1112136034526917,-0.1163167426100898,-0.1215281294040114,-0.1268322105188138,-0.1322150115288906,-0.137663934123231,-0.1431675476044881,-0.1487153876466854,-0.1542977717713767,-0.1599056382555414,-0.1655304129766145,-0.1711639067262261,-0.1767982437134233,-0.1820884914359357,-0.0706952016887054,-0.0682485132175744,-0.0667912917296865,-0.0655718126024886,-0.0644692604951205,-0.0634847874333888,-0.0626423762847346,-0.0619705351546759,-0.0614992148719174,-0.0612591954838559,-0.0612814270319042,-0.0615959052943577,-0.0622301437399448,-0.0632074588456481,-0.0645453531126192,-0.0662542800995237,-0.0683370051015573,-0.07078865130817111
